Product_name,Price,Rating,Description
Apple MacBook Air,136990.0,4.1,Processor: Unknown | RAM: Unknown | Memory: Unknown | Operating System: Macos | Storage: Unknown | Battery Life: UP TO 18 HOURS
Lenovo IdeaPad Slim i,32990.0,3.9,Processor: 12th Gen Intel Core i3-1215U | RAM: 8GB DDR4-3200 | Memory: Unknown | Operating System: Windows 11 | Storage: Unknown | Battery Life: Unknown
Acer Aspire Lite Ryzen,29490.0,3.9,Processor: AMD Ryzen 3 5300U | RAM: Unknown | Memory: Unknown | Operating System: Unknown | Storage: Unknown | Battery Life: Unknown
HP 15s i3,30990.0,4.1,Processor: 12th Gen Intel Core i3-1215U | RAM: 8GB DDR4 | Memory: Unknown | Operating System: Unknown | Storage: 256GB PCIe | Battery Life: up to 7 hours
HP 250R G9 i3,31240.0,4.0,Processor: Intel Core i3-1315U | RAM: Unknown | Memory: Unknown | Operating System: Unknown | Storage: Unknown | Battery Life: Unknown
Lenovo V15 Ryzen 3,26740.0,3.6,Processor: AMD Ryzen 3 7320U | RAM: 8GB LPDDR5 | Memory: Unknown | Operating System: Windows 11 | Storage: 512GB SSD | Battery Life: Unknown
Lenovo LOQ i7 39.6cm,99990.0,3.7,Processor: Intel Core i7-13650HX | RAM: Unknown | Memory: Unknown | Operating System: Unknown | Storage: 512GB SSD | Battery Life: Unknown
Acer Aspire i,41390.0,4.2,Processor: Intel Core i3-N305 | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: Unknown | Battery Life: Unknown
Apple MacBook Air,136990.0,0.0,Processor: Unknown | RAM: Unknown | Memory: Unknown | Operating System: Macos | Storage: Unknown | Battery Life: UP TO 18 HOURS
JioBook Thin,12990.0,3.0,Processor: Unknown | RAM: 4GB LPDDR4 | Memory: Unknown | Operating System: Unknown | Storage: Unknown | Battery Life: Unknown
Dell Latitude,27716.0,2.8,Processor: Intel Core i3 | RAM: 8GB DDR4 | Memory: Unknown | Operating System: Unknown | Storage: Unknown | Battery Life: up to 6 hours
ASUS Vivobook i,32990.0,4.0,Processor: 12th Gen Intel Core i3-1215U | RAM: 8GB DDR4 | Memory: Unknown | Operating System: Windows 11 | Storage: 512GB M.2 | Battery Life: Unknown
HP 240R G9 i3,34950.0,3.7,Processor: Intel Core i3-1315U | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: Unknown | Battery Life: Unknown
HP Gaming,102990.0,3.8,Processor: AMD Ryzen 7 7840HS | RAM: 16GB DDR5 | Memory: Unknown | Operating System: Windows 11 | Storage: Unknown | Battery Life: Unknown
Acer Aspire Lite i,30990.0,3.9,Processor: Intel Core i3-1305U | RAM: Unknown | Memory: Unknown | Operating System: Unknown | Storage: Unknown | Battery Life: Unknown
Lenovo IdeaPad Slim i,63390.0,4.0,Processor: Intel Core i7-13620H | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: Unknown | Battery Life: Unknown
HP 13th i5,55990.0,2.7,Processor: 13th Gen Intel Core i5-1334U | RAM: 16GB DDR4-3200 | Memory: Unknown | Operating System: Unknown | Storage: 512GB PCIe | Battery Life: Unknown
Lenovo Yoga,127990.0,5.0,Processor: Unknown | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: 1TB SSD | Battery Life: Unknown
